Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Credit_Limit,Avg_Utilization_Ratio
0,31,M,0,Uneducated,Single,Less than $40K,Blue,25,5,5715.0,0.305
0,61,F,0,High School,Married,Less than $40K,Blue,36,2,3175.0,0.351
0,38,M,1,College,Married,Less than $40K,Blue,25,6,5559.0,0.118
0,48,F,5,Graduate,Married,Less than $40K,Blue,36,5,6921.0,0.148
1,60,M,0,College,Married,$80K - $120K,Blue,50,1,29239.0,0.0
0,39,F,2,Graduate,Married,Less than $40K,Blue,32,4,5634.0,0.365
0,45,F,2,Post-Graduate,Single,Less than $40K,Blue,36,3,2736.0,0.747
0,51,M,3,High School,Single,$60K - $80K,Blue,43,5,7119.0,0.213
0,43,M,2,High School,Single,$80K - $120K,Blue,36,6,14418.0,0.0
1,54,F,2,Post-Graduate,Married,Less than $40K,Blue,47,3,1438.3,0.0
0,38,M,1,Uneducated,Married,Less than $40K,Blue,31,6,6236.0,0.193
0,40,M,3,Uneducated,Single,$80K - $120K,Blue,34,4,9124.0,0.233
0,41,M,2,Graduate,Married,$60K - $80K,Silver,31,2,31497.0,0.07
0,44,M,2,Uneducated,Married,$80K - $120K,Blue,33,3,34496.0,0.048
0,45,F,4,College,Single,$40K - $60K,Gold,30,1,23051.0,0.08
0,56,F,2,Uneducated,Married,$40K - $60K,Blue,44,6,4439.0,0.341
0,38,F,2,Uneducated,Single,Less than $40K,Blue,25,2,2468.0,0.353
0,49,F,4,Graduate,Single,Less than $40K,Blue,42,4,2162.0,0.87
0,41,M,4,Uneducated,Divorced,$60K - $80K,Silver,36,4,33771.0,0.0
1,33,M,2,Graduate,Married,$120K +,Blue,21,2,27992.0,0.0
0,43,M,2,High School,Married,$120K +,Silver,23,3,34516.0,0.033
0,55,F,3,Graduate,Single,Less than $40K,Blue,29,6,7361.0,0.178
0,53,F,3,College,Married,Less than $40K,Blue,43,4,1438.3,0.501
0,49,F,1,Post-Graduate,Divorced,$40K - $60K,Blue,44,6,2597.0,0.72
0,35,M,1,Post-Graduate,Married,$80K - $120K,Blue,20,6,13046.0,0.09
0,43,F,4,High School,Single,$40K - $60K,Blue,36,3,4902.0,0.513
0,47,F,4,Uneducated,Single,Less than $40K,Blue,36,4,2577.0,0.563
0,46,F,3,College,Single,Less than $40K,Blue,41,1,2485.0,0.346
0,47,M,4,Uneducated,Married,$80K - $120K,Blue,40,5,21148.0,0.083
0,38,M,3,Graduate,Married,$80K - $120K,Blue,19,5,1518.0,0.735
0,53,M,3,High School,Married,$120K +,Blue,44,5,14057.0,0.118
1,34,F,3,Graduate,Married,Less than $40K,Gold,36,6,15487.0,0.119
1,43,F,3,Graduate,Married,Less than $40K,Blue,36,4,3523.0,0.0
0,62,F,0,Post-Graduate,Single,$40K - $60K,Blue,53,1,4136.0,0.0
1,59,F,1,High School,Single,Less than $40K,Blue,46,2,7484.0,0.259
0,54,F,1,Uneducated,Married,$40K - $60K,Blue,44,5,5556.0,0.308
0,43,F,0,High School,Married,Less than $40K,Blue,35,1,8401.0,0.129
0,40,F,3,College,Single,Less than $40K,Blue,22,4,3372.0,0.746
0,54,F,2,Doctorate,Married,Less than $40K,Blue,46,3,3312.0,0.49
1,57,F,3,Uneducated,Single,Less than $40K,Blue,51,3,1438.3,0.0
0,45,M,4,High School,Married,$80K - $120K,Blue,40,6,6366.0,0.211
0,42,M,5,High School,Married,$60K - $80K,Blue,36,2,3275.0,0.466
0,39,F,0,High School,Single,Less than $40K,Blue,23,5,3279.0,0.0
0,42,F,4,Graduate,Single,Less than $40K,Blue,34,3,1853.0,0.0
0,48,M,3,Graduate,Single,$80K - $120K,Blue,30,4,4180.0,0.165
0,47,M,1,Graduate,Married,$80K - $120K,Blue,37,6,11722.0,0.142
0,43,F,3,Uneducated,Single,Less than $40K,Blue,36,5,2652.0,0.0
0,54,F,2,College,Married,Less than $40K,Blue,48,3,2473.0,0.706
0,41,M,2,High School,Single,$80K - $120K,Blue,28,4,27756.0,0.064
0,61,M,0,High School,Single,$60K - $80K,Blue,53,1,2415.0,0.849
0,46,F,1,High School,Married,Less than $40K,Blue,36,1,3073.0,0.819
0,53,F,1,High School,Married,Less than $40K,Blue,47,6,3445.0,0.312
0,42,M,5,Uneducated,Single,$60K - $80K,Blue,36,1,6618.0,0.263
0,37,M,5,Doctorate,Single,$80K - $120K,Silver,36,4,34516.0,0.0
1,51,F,2,Doctorate,Married,Less than $40K,Platinum,42,3,15987.0,0.012
0,46,M,3,High School,Married,$80K - $120K,Blue,27,4,4964.0,0.467
0,41,M,2,Graduate,Single,$60K - $80K,Blue,28,2,7293.0,0.136
0,36,F,4,College,Married,Less than $40K,Blue,36,6,2466.0,0.71
0,45,M,4,College,Married,$80K - $120K,Blue,31,4,31978.0,0.052
0,50,M,4,Graduate,Married,$80K - $120K,Blue,39,3,11900.0,0.151
1,43,F,2,Graduate,Married,Less than $40K,Silver,25,6,10388.0,0.189
0,51,F,3,Graduate,Single,Less than $40K,Blue,36,1,3276.0,0.45
0,37,F,2,Graduate,Single,$40K - $60K,Blue,24,4,2573.0,0.497
0,42,M,4,Graduate,Single,$40K - $60K,Blue,33,5,2654.0,0.561
0,48,F,2,Graduate,Married,Less than $40K,Blue,36,4,6362.0,0.268
0,47,F,4,Uneducated,Single,$40K - $60K,Blue,36,1,1438.3,0.0
0,35,M,4,High School,Single,$80K - $120K,Blue,26,2,24250.0,0.0
0,43,M,2,College,Single,$120K +,Blue,37,6,14315.0,0.094
0,47,F,4,Graduate,Married,Less than $40K,Blue,36,6,2178.0,0.668
0,47,M,4,Graduate,Married,$80K - $120K,Blue,36,3,11242.0,0.139
0,49,M,3,Uneducated,Married,$120K +,Gold,38,4,14938.0,0.0
0,48,F,5,Uneducated,Married,$40K - $60K,Blue,43,4,2866.0,0.321
0,42,M,1,Post-Graduate,Single,$60K - $80K,Gold,36,1,34516.0,0.066
0,50,M,2,High School,Single,$60K - $80K,Blue,40,5,9690.0,0.115
0,44,M,1,Uneducated,Married,$120K +,Blue,33,2,34516.0,0.031
0,45,F,2,Uneducated,Married,Less than $40K,Blue,27,1,2490.0,0.425
0,62,F,0,High School,Single,Less than $40K,Blue,36,6,3749.0,0.528
0,43,M,1,High School,Single,$60K - $80K,Blue,31,5,2834.0,0.607
0,50,F,0,Graduate,Married,Less than $40K,Blue,36,3,1438.3,0.0
0,54,F,3,High School,Married,Less than $40K,Blue,41,5,3161.0,0.386
1,46,F,3,College,Married,Less than $40K,Blue,36,2,1804.0,0.0
0,38,M,3,Post-Graduate,Married,$60K - $80K,Blue,36,4,2584.0,0.0
1,53,F,3,Graduate,Single,Less than $40K,Blue,34,5,1438.3,0.716
0,52,M,2,Doctorate,Married,$80K - $120K,Blue,38,4,12878.0,0.126
0,38,F,2,Post-Graduate,Married,$40K - $60K,Blue,28,2,4468.0,0.536
0,41,M,4,Uneducated,Single,$80K - $120K,Blue,33,6,4388.0,0.346
0,41,F,2,High School,Married,Less than $40K,Blue,24,1,7207.0,0.228
0,53,F,3,College,Married,$40K - $60K,Blue,33,4,5146.0,0.314
0,45,F,4,High School,Married,Less than $40K,Blue,36,5,2225.0,0.0
0,58,M,4,Graduate,Single,$120K +,Blue,52,6,32090.0,0.0
0,45,M,1,Graduate,Single,$60K - $80K,Blue,36,3,6022.0,0.238
0,42,M,3,Graduate,Married,$80K - $120K,Blue,34,6,4562.0,0.495
1,47,F,3,Graduate,Single,Less than $40K,Blue,39,3,1438.3,0.0
0,48,F,1,College,Married,Less than $40K,Blue,38,5,1832.0,0.408
0,59,F,1,Post-Graduate,Single,Less than $40K,Blue,36,6,2759.0,0.899
0,50,F,2,Graduate,Married,$40K - $60K,Blue,44,6,2339.0,0.616
0,52,F,3,Graduate,Married,Less than $40K,Blue,47,4,2577.0,0.341
0,40,F,4,Graduate,Married,Less than $40K,Blue,28,6,1438.3,0.479
1,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,10244.0,0.084
0,38,M,3,College,Single,$120K +,Blue,26,2,14938.0,0.0
1,48,M,3,Post-Graduate,Married,$40K - $60K,Blue,36,3,2954.0,0.315
0,49,M,2,High School,Single,$120K +,Blue,42,3,21144.0,0.056
0,40,M,3,Uneducated,Married,$120K +,Blue,28,3,4642.0,0.361
0,51,F,2,Graduate,Single,Less than $40K,Blue,39,3,2581.0,0.667
0,36,F,5,High School,Married,Less than $40K,Blue,17,3,1438.3,0.0
0,46,M,2,Graduate,Married,$80K - $120K,Blue,39,2,11901.0,0.211
1,45,M,3,Uneducated,Single,$120K +,Blue,35,2,7135.0,0.353
0,26,F,0,Graduate,Single,Less than $40K,Blue,22,3,1486.0,0.0
0,52,M,1,College,Single,$80K - $120K,Blue,40,5,4745.0,0.259
1,47,M,3,Uneducated,Single,$60K - $80K,Blue,36,3,1659.0,0.931
0,44,F,3,College,Single,Less than $40K,Blue,32,1,7926.0,0.133
0,43,F,3,Post-Graduate,Single,$40K - $60K,Blue,24,3,5182.0,0.31
1,46,M,1,Uneducated,Married,$60K - $80K,Blue,34,3,15060.0,0.0
0,42,F,2,Graduate,Single,Less than $40K,Blue,27,5,2265.0,0.0
1,43,F,2,Uneducated,Divorced,Less than $40K,Blue,30,3,6811.0,0.0
0,60,F,1,Uneducated,Single,Less than $40K,Blue,47,1,4905.0,0.492
1,29,M,1,High School,Single,$60K - $80K,Blue,17,6,17744.0,0.047
0,34,F,3,Uneducated,Single,Less than $40K,Blue,26,4,3234.0,0.3
0,38,F,4,Graduate,Married,Less than $40K,Blue,36,4,1860.0,0.0
0,39,F,2,Uneducated,Married,Less than $40K,Silver,34,3,14386.0,0.175
0,52,M,1,Graduate,Single,$80K - $120K,Blue,44,3,34516.0,0.0
0,35,M,2,Uneducated,Single,$60K - $80K,Blue,21,4,7766.0,0.165
0,53,M,0,High School,Married,$40K - $60K,Blue,39,5,2875.0,0.581
0,46,M,5,Uneducated,Divorced,$60K - $80K,Blue,36,3,17196.0,0.096
0,49,M,3,Graduate,Married,$80K - $120K,Blue,37,4,15610.0,0.131
0,47,M,1,Post-Graduate,Single,$60K - $80K,Blue,36,4,9090.0,0.151
0,55,F,1,College,Single,$40K - $60K,Blue,50,3,1843.0,0.825
0,37,F,0,Post-Graduate,Married,Less than $40K,Blue,25,4,2061.0,0.72
0,40,M,2,High School,Divorced,$60K - $80K,Blue,25,6,2978.0,0.0
0,46,M,4,Graduate,Married,$80K - $120K,Blue,33,5,16227.0,0.057
0,37,F,3,Graduate,Divorced,Less than $40K,Blue,24,3,3727.0,0.267
0,59,F,2,High School,Married,Less than $40K,Blue,48,6,2338.0,0.67
0,29,M,0,Graduate,Married,$40K - $60K,Blue,36,3,1459.0,0.404
1,59,M,1,College,Single,$120K +,Blue,47,2,4789.0,0.075
1,39,M,3,College,Married,$80K - $120K,Blue,30,2,4618.0,0.0
0,35,F,1,Graduate,Single,Less than $40K,Blue,23,4,2640.0,0.398
0,53,M,1,High School,Married,$80K - $120K,Blue,47,3,12262.0,0.15
0,49,M,3,Uneducated,Single,$80K - $120K,Silver,41,4,34516.0,0.0
0,57,M,1,Graduate,Married,$80K - $120K,Blue,47,5,14612.0,0.135
0,46,M,2,High School,Single,$40K - $60K,Blue,32,2,5972.0,0.0
0,58,F,2,Graduate,Single,Less than $40K,Blue,47,1,2127.0,0.0
1,47,F,2,High School,Married,Less than $40K,Blue,39,5,3899.0,0.0
1,57,F,2,High School,Married,$40K - $60K,Blue,45,2,1438.3,0.0
0,44,F,3,Uneducated,Divorced,Less than $40K,Silver,38,4,11127.0,0.165
0,53,M,3,Graduate,Single,$80K - $120K,Silver,39,1,34516.0,0.035
1,47,M,3,College,Single,$60K - $80K,Blue,39,5,22599.0,0.0
0,43,F,4,College,Single,$40K - $60K,Blue,36,6,1531.0,0.0
0,57,F,2,Graduate,Single,Less than $40K,Blue,36,1,6482.0,0.26
0,34,M,1,College,Married,$60K - $80K,Blue,23,3,5510.0,0.291
0,42,F,3,High School,Single,Less than $40K,Silver,31,5,13441.0,0.187
0,44,M,2,Graduate,Married,$60K - $80K,Blue,37,1,1787.0,0.0
0,44,F,2,High School,Married,$40K - $60K,Blue,28,2,1438.3,0.0
1,35,F,5,High School,Married,$40K - $60K,Blue,25,3,1438.3,0.0
0,53,M,0,Graduate,Married,$80K - $120K,Blue,41,3,16033.0,0.035
0,35,F,2,Uneducated,Married,Less than $40K,Blue,21,6,5825.0,0.312
0,39,F,2,High School,Married,Less than $40K,Blue,32,5,3086.0,0.717
0,53,F,3,Graduate,Married,Less than $40K,Blue,42,3,2404.0,0.461
0,29,M,1,Graduate,Married,Less than $40K,Blue,18,4,2710.0,0.232
0,43,M,3,College,Single,$40K - $60K,Blue,23,6,4559.0,0.365
0,51,M,4,Graduate,Single,$120K +,Blue,36,2,3168.0,0.678
0,53,M,3,College,Single,$120K +,Blue,36,6,34516.0,0.055
0,54,F,0,Graduate,Divorced,Less than $40K,Silver,36,4,12547.0,0.11
0,56,F,3,Graduate,Single,Less than $40K,Blue,36,5,4255.0,0.0
0,34,M,2,Graduate,Single,Less than $40K,Blue,23,1,8940.0,0.17
0,44,M,3,Graduate,Married,$60K - $80K,Blue,36,1,3384.0,0.236
0,37,M,2,High School,Married,$60K - $80K,Blue,30,4,2218.0,0.571
0,43,M,3,High School,Single,$80K - $120K,Blue,34,4,28262.0,0.052
0,43,M,2,College,Married,$80K - $120K,Blue,24,6,1669.0,0.0
1,55,M,5,Post-Graduate,Single,$80K - $120K,Blue,47,3,1438.3,0.0
0,45,M,2,High School,Married,$80K - $120K,Blue,34,5,12518.0,0.123
0,34,F,1,College,Married,Less than $40K,Blue,30,3,2617.0,0.386
0,50,M,4,Graduate,Married,$80K - $120K,Blue,38,5,4601.0,0.547
0,36,M,2,Graduate,Married,$60K - $80K,Blue,28,4,1911.0,0.637
0,39,F,1,Graduate,Single,Less than $40K,Blue,31,5,3390.0,0.655
0,53,F,1,Uneducated,Single,Less than $40K,Blue,43,6,2126.0,0.591
0,49,F,2,Uneducated,Married,Less than $40K,Blue,37,6,9723.0,0.253
0,40,M,3,Graduate,Married,$80K - $120K,Silver,27,3,34516.0,0.0
0,54,M,3,Post-Graduate,Single,$40K - $60K,Blue,44,2,4216.0,0.306
0,46,M,3,College,Married,$80K - $120K,Blue,32,4,20860.0,0.072
0,40,M,3,Uneducated,Divorced,$80K - $120K,Blue,29,3,30997.0,0.075
0,49,M,4,High School,Married,$60K - $80K,Blue,36,6,12938.0,0.051
0,50,F,2,Uneducated,Married,Less than $40K,Blue,44,3,3386.0,0.743
0,45,M,5,Graduate,Married,$60K - $80K,Blue,38,5,8983.0,0.0
0,47,M,4,Post-Graduate,Married,$80K - $120K,Blue,30,3,27720.0,0.087
0,49,F,2,Uneducated,Married,Less than $40K,Blue,34,6,5242.0,0.279
0,48,F,2,College,Single,Less than $40K,Blue,35,3,1438.3,0.567
0,60,M,1,Uneducated,Single,$80K - $120K,Blue,51,6,26566.0,0.095
0,36,F,1,Graduate,Married,$40K - $60K,Blue,36,5,3635.0,0.445
0,51,M,3,High School,Single,$40K - $60K,Blue,36,4,5000.0,0.188
1,39,M,2,Uneducated,Single,$60K - $80K,Blue,36,5,13961.0,0.093
0,51,M,2,Uneducated,Married,$120K +,Blue,40,1,10984.0,0.13
1,56,F,1,Graduate,Single,$40K - $60K,Blue,37,2,2339.0,0.0
1,54,F,2,Post-Graduate,Single,Less than $40K,Blue,43,2,4917.0,0.0
0,37,F,3,Doctorate,Married,Less than $40K,Blue,36,3,1438.3,0.0
0,57,M,1,High School,Married,$80K - $120K,Blue,53,3,25058.0,0.068
0,41,M,4,High School,Married,$60K - $80K,Blue,36,4,8013.0,0.253
1,60,F,1,Uneducated,Married,$40K - $60K,Blue,50,4,1438.3,0.713
1,63,M,1,Graduate,Single,$60K - $80K,Blue,56,3,9569.0,0.0
0,38,M,1,Graduate,Single,$80K - $120K,Blue,25,5,16665.0,0.069
0,45,M,2,Uneducated,Married,$120K +,Blue,36,6,3383.0,0.431
0,34,M,2,Graduate,Married,$60K - $80K,Blue,36,5,2763.0,0.692
0,46,M,3,Graduate,Married,$40K - $60K,Blue,32,6,11477.0,0.0
0,47,M,3,Graduate,Married,$120K +,Silver,42,1,34516.0,0.034
0,51,F,4,Graduate,Single,Less than $40K,Blue,42,3,2680.0,0.654
0,42,M,2,High School,Single,$60K - $80K,Blue,34,4,3336.0,0.525
0,43,M,3,High School,Married,$60K - $80K,Blue,36,3,9560.0,0.0
0,53,F,1,High School,Single,Less than $40K,Blue,47,6,3378.0,0.632
0,55,F,2,Uneducated,Divorced,Less than $40K,Blue,49,5,1438.3,0.473
0,49,M,3,Uneducated,Married,$80K - $120K,Blue,45,2,4778.0,0.283
0,43,M,3,Post-Graduate,Married,$60K - $80K,Gold,37,6,34516.0,0.046
0,51,F,2,Uneducated,Divorced,Less than $40K,Blue,38,4,9648.0,0.2
0,45,F,3,High School,Married,Less than $40K,Blue,35,2,2548.0,0.883
0,47,M,3,Doctorate,Single,Less than $40K,Blue,35,4,1842.0,0.0
0,43,M,1,High School,Married,$60K - $80K,Blue,36,1,4255.0,0.406
0,51,F,2,College,Single,Less than $40K,Blue,36,1,1438.3,0.499
0,55,F,2,Graduate,Married,$40K - $60K,Blue,46,6,2894.0,0.718
0,50,M,1,Uneducated,Married,$80K - $120K,Blue,39,6,14817.0,0.099
0,61,F,1,Graduate,Single,Less than $40K,Blue,54,3,2721.0,0.0
0,47,F,2,College,Married,Less than $40K,Blue,36,1,2780.0,0.797
0,35,F,2,College,Married,$40K - $60K,Blue,24,4,2939.0,0.635
0,46,M,5,High School,Married,$40K - $60K,Silver,28,5,18797.0,0.115
0,31,M,0,High School,Divorced,Less than $40K,Blue,22,3,6012.0,0.0
1,52,F,3,High School,Married,$40K - $60K,Blue,47,2,8018.0,0.017
0,42,F,2,Post-Graduate,Single,Less than $40K,Blue,35,6,3223.0,0.0
0,41,M,4,High School,Married,$80K - $120K,Blue,29,4,12154.0,0.207
0,44,F,2,Graduate,Married,Less than $40K,Blue,37,4,3203.0,0.648
0,45,F,2,High School,Married,Less than $40K,Blue,36,4,1640.0,0.609
1,57,F,2,Uneducated,Single,Less than $40K,Blue,50,5,2475.0,0.0
0,43,M,3,Graduate,Single,$80K - $120K,Blue,31,6,12165.0,0.0
0,52,M,2,High School,Married,$80K - $120K,Blue,36,2,18046.0,0.0
0,65,F,1,Uneducated,Single,Less than $40K,Blue,36,3,4182.0,0.0
0,45,M,3,Graduate,Married,$60K - $80K,Blue,36,3,14593.0,0.103
0,28,M,0,Graduate,Single,Less than $40K,Blue,36,4,1707.0,0.698
0,40,M,3,Graduate,Married,$60K - $80K,Blue,36,4,2223.0,0.269
0,54,F,3,Doctorate,Single,Less than $40K,Blue,36,4,2778.0,0.267
0,31,F,0,High School,Married,Less than $40K,Blue,13,5,3201.0,0.307
1,55,F,4,High School,Married,Less than $40K,Blue,36,4,1477.0,0.0
0,41,M,2,College,Single,$80K - $120K,Blue,35,6,2647.0,0.234
0,48,M,2,High School,Married,$120K +,Blue,36,6,29963.0,0.07
0,54,F,0,College,Married,Less than $40K,Blue,40,3,1638.0,0.0
0,57,F,3,Doctorate,Single,Less than $40K,Blue,44,5,1737.0,0.468
0,36,F,2,Post-Graduate,Married,Less than $40K,Blue,25,5,4701.0,0.317
0,54,M,1,Uneducated,Married,$120K +,Blue,40,4,12086.0,0.105
0,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,1709.0,0.524
0,38,F,3,Graduate,Single,Less than $40K,Gold,31,2,15987.0,0.11
0,46,M,3,Uneducated,Married,$80K - $120K,Blue,36,3,23512.0,0.066
0,54,M,1,Graduate,Married,$40K - $60K,Blue,43,4,2706.0,0.93
0,43,M,3,Graduate,Married,$80K - $120K,Blue,38,3,23459.0,0.098
0,60,M,1,High School,Single,$40K - $60K,Silver,49,5,21681.0,0.0
1,35,M,3,Doctorate,Married,$80K - $120K,Blue,30,5,13590.0,0.112
0,48,M,2,Graduate,Single,$60K - $80K,Blue,40,4,14951.0,0.095
1,53,M,1,High School,Married,$40K - $60K,Blue,43,1,3146.0,0.0
0,37,F,4,College,Married,$40K - $60K,Blue,30,4,3417.0,0.737
0,55,F,4,Graduate,Single,Less than $40K,Blue,44,1,2638.0,0.539
0,47,M,2,Graduate,Divorced,$60K - $80K,Blue,29,5,4786.0,0.324
0,48,M,4,Graduate,Married,$60K - $80K,Blue,37,1,7298.0,0.345
0,56,M,1,High School,Married,$120K +,Blue,37,4,9257.0,0.0
0,50,F,2,Graduate,Married,Less than $40K,Blue,42,5,1770.0,0.964
0,49,M,2,Graduate,Married,$60K - $80K,Blue,43,4,15377.0,0.099
0,48,M,2,Graduate,Married,$120K +,Blue,37,3,8956.0,0.143
0,44,M,3,Uneducated,Married,$80K - $120K,Silver,39,5,34516.0,0.042
0,61,F,0,High School,Married,Less than $40K,Blue,53,5,3396.0,0.236
0,41,F,3,High School,Single,$40K - $60K,Blue,31,3,1438.3,0.635
0,43,F,4,Graduate,Divorced,Less than $40K,Blue,34,2,3195.0,0.612
0,44,F,4,High School,Single,Less than $40K,Blue,36,6,1656.0,0.863
0,41,F,4,Graduate,Married,$40K - $60K,Blue,36,3,3179.0,0.387
0,53,F,3,Graduate,Married,Less than $40K,Blue,35,4,3390.0,0.643
1,55,M,4,High School,Married,$80K - $120K,Blue,41,2,27560.0,0.033
0,35,M,2,High School,Single,$40K - $60K,Blue,36,5,2100.0,0.452
1,62,F,0,Uneducated,Single,Less than $40K,Blue,36,6,5780.0,0.0
0,59,F,0,College,Single,Less than $40K,Blue,40,1,3297.0,0.0
0,37,F,3,Graduate,Single,Less than $40K,Blue,31,3,2005.0,0.757
0,60,M,0,Graduate,Married,$40K - $60K,Blue,41,3,2458.0,0.765
1,46,M,3,Graduate,Married,$60K - $80K,Blue,34,1,4930.0,0.032
0,41,M,3,High School,Divorced,$60K - $80K,Blue,32,1,4549.0,0.464
0,43,F,2,Post-Graduate,Married,Less than $40K,Blue,31,6,2837.0,0.637
0,40,F,4,College,Married,$40K - $60K,Blue,24,5,2606.0,0.698
0,62,M,1,Graduate,Single,$60K - $80K,Blue,54,4,13284.0,0.046
0,59,M,0,Graduate,Single,Less than $40K,Blue,36,5,3604.0,0.411
1,37,M,2,Graduate,Married,$120K +,Blue,30,2,13662.0,0.0
0,57,M,3,High School,Married,$120K +,Blue,50,3,3205.0,0.477
0,43,M,3,Graduate,Single,$120K +,Blue,23,5,4121.0,0.506
